word,label
afp,1
africa,0
africans,0
afternoon,0
afterward,1
afterwards,1
age,0
aged,0
agence,0
agencies,1
agency,0
ages,0
aggression,1
aggressive,1
agl,0
ago,0
agree,0
agreed,0
agreeing,0
agreement,0
agreements,1
agriculture,1
agrofert,1
agus,1
agustín,0
agência,0
ahead,0
ahl,0
ahmad,0
ahmed,0
ahmedabad,1
aid,0
aiding,1
aim,0
aimed,0
aiming,1
aims,0
ain,0
air,0
airasia,0
airborne,1
aircraft,0
aired,1
airlifted,1
airlines,0
airport,0
airports,0
airshow,1
airspace,1
akilam,1
al,0
alas,1
alawite,0
albanian,0
albert,0
album,1
albán,0
alc,0
alcaçuz,0
alchemical,0
alchemists,1
alchemy,1
alcina,0
alcohol,0
aldeburgh,0
aleppo,0
alert,1
alerted,1
alex,0
alexander,0
alexei,0
alfons,0
ali,0
alias,1
alighting,1
aligns,1
alison,0
alito,0
alive,0
alkaline,1
allegations,1
allege,1
alleged,1
allegedly,1
alleges,1
allentown,0
allergy,1
allerton,1
alliantgroup,1
allied,1
allies,0
allowed,1
allowing,0
ally,1
alongside,1
alphabet,1
alphonse,0
also,0
alter,1
altered,1
altimeter,1
altitude,0
altitudes,0
aluminium,1
aluminum,1
always,0
am,0
amalgam,1
amateur,1
amazing,0
amazonas,0
ambassadoe,1
ambassador,1
amber,0
ambitions,1
ambitious,1
ambulance,1
ambulatory,1
ambushed,1
america,0
american,0
americans,0
amid,1
amin,0
amita,0
amitai,0
amnesty,1
amongst,1
amount,0
amounted,1
amounts,0
ampas,0
amusement,1
amygdala,1
analgesic,1
analysed,1
analysis,1
analyst,1
analysts,1
anastasia,0
ancestors,1
anchored,1
ancient,1
andretti,1
andrew,0
android,0
andy,0
anemia,1
aneroid,1
anesthesia,1
aneurysm,1
anew,1
angara,1
angel,0
angeles,0
anger,1
angered,1
angers,1
angled,1
angry,0
angularis,0
animal,0
animals,0
anna,0
annan,0
annexation,1
annexed,1
anniversary,0
annnounced,1
announce,1
announced,1
announcement,1
announcements,1
announces,1
announcing,1
annual,1
annually,1
annul,1
anode,1
anonymity,1
anonymous,1
answer,0
ant,0
antarctica,0
anthony,0
antibiotic,1
antibody,1
anticoagulant,1
antigen,1
antiparallel,1
antitrust,1
antivenom,1
antiviral,1
antoni,0
antonin,0
antonio,0
antrim,1
ants,0
antyscience,1
anxiety,1
anxious,1
ao,0
ap,0
apache,1
apart,0
apartment,0
aphid,1
aphids,1
apis,0
apj,0
apollo,1
apologies,1
appalling,1
apparent,1
apparently,1
appeal,1
appealed,1
appealing,1
appear,1
appearance,1
appearances,1
appeared,1
appearing,1
appears,0
appendicitis,1
appetite,1
apple,0
application,1
applications,1
apply,0
applying,0
appoint,1
appointed,1
appreciate,1
approached,1
approaching,1
approval,1
approvals,1
approve,1
approved,1
approves,1
approving,0
approximately,1
april,0
aqua,0
aquarius,1
aquinas,1
aquino,1
arab,0
arabia,0
arabic,0
araujo,0
arc,1
arch,1
archangels,1
archbishop,1
architect,1
architectural,1
architecture,1
archivist,1
archivists,1
are,0
area,0
areas,0
arena,1
argues,1
arguments,1
ariodante,0
ariosto,0
arise,1
arjen,0
arm,0
armed,0
armenian,1
armies,0
arming,1
armored,1
armoured,1
arms,0
armstrong,0
army,0
arnold,0
arose,1
arovell,0
arranged,1
arrangement,1
arrangements,1
array,1
arrest,1
arrested,0
arresting,1
arrests,0
arrhythmia,1
arrival,0
arrive,0
arrived,0
arrives,0
arriving,0
arsenic,1
art,0
arterial,1
arthritis,1
article,0
articles,1
artifacts,1
artillery,1
artist,0
artistic,1
artists,0
arts,0
artwork,1
as,0
ashore,1
ashton,0
ashtown,0
asia,0
asian,0
aside,1
asked,0
asks,0
asleep,0
assad,0
assaf,0
assange,1
assassinated,1
assault,1
assaults,1
assemblages,1
assembled,1
assembly,1
asserted,1
asserting,1
asserts,1
assesses,1
asset,1
assets,1
assist,1
assistance,1
assisted,0
assisting,1
assists,1
associated,0
association,1
assume,1
assumption,1
assurance,1
assure,1
asthma,1
astronaut,1
asylum,1
asymptomatic,1
atherosclerosis,1
athletic,0
atlantic,0
atman,1
atmosphere,1
atmospheres,1
atmospheric,1
atoll,0
atoms,0
atop,1
atrocities,1
atropos,1
attack,0
attacked,0
attacker,0
attackers,0
attacking,1
attacks,0
attempt,1
attempted,1
attempting,1
attempts,1
attend,0
attendance,1
attended,1
attending,1
attention,1
attentively,1
attorney,1
attracted,0
attracting,0
attraction,1
attractions,1
attributed,1
auctioneers,1
audience,1
audiences,1
audio,0
audit,1
auditing,1
auditorium,1
auditors,1
august,0
augustus,0
auspicious,1
austerity,1
austin,0
australia,0
australian,0
australians,0
austria,0
austrian,0
author,0
authorised,1
authoritarian,1
authorities,1
authority,1
authorized,1
authors,0
auto,0
autobiography,1
automatic,0
autosport,0
auxiliary,1
available,1
avenue,0
avenues,1
average,0
averaged,1
averaging,1
avert,1
avialans,1
aviation,1
aviv,0
avoid,0
avoided,1
avoiding,1
await,1
awaiting,1
awakened,1
award,1
awarded,0
awarding,1
awards,0
aware,0
awoken,1
axis,1
axonal,1
ayoub,0
ayrton,1
ayya,0
ayyavazhi,1
azores,1
azuki,1
baa,0
bab,0
baby,0
back,0
backdrop,1
backed,0
backers,1
backing,0
backlash,1
backpack,1
backward,0
bacterial,1
bad,0
bagged,1
bagram,1
baht,1
bail,1
bailout,1
baking,1
balance,0
balconies,1
baldetti,0
balkans,0
ballot,1
ballyfermot,0
ban,1
bananas,0
banco,0
band,1
bandit,0
bang,0
banged,1
bangkok,1
bangladesh,0
bank,0
bankia,0
banking,0
banks,0
banksy,0
banned,1
bans,1
bar,0
barack,0
barbed,1
barbs,1
barcelona,0
barclays,0
bare,1
barely,1
bark,1
barometer,1
barons,0
baroque,1
barracks,1
barrage,1
barren,1
barrier,1
barrister,1
barros,0
barroso,0
bars,1
basal,1
base,0
based,0
bases,0
baset,0
bashar,0
basically,1
basis,0
bassiana,1
bastion,1
battery,1
battle,0
battles,1
battling,1
bavaria,0
bay,0
bayern,0
bb,0
bbc,0
bbs,1
bbva,1
bc,0
beach,0
beaconsfield,0
bean,0
beans,0
bears,1
beata,0
beaten,0
beating,1
beautiful,0
beauty,0
beauveria,1
bedridden,1
beds,0
bee,0
bees,0
beethoven,0
beetles,1
befall,1
began,0
begging,1
begin,0
beginning,0
begins,0
behalf,1
behaved,1
behavior,0
behaviour,1
beheaded,1
beijing,0
beirut,0
belfast,0
belgium,0
belief,1
believe,1
believed,1
believes,0
bellaghy,0
belong,0
belonged,1
belonging,0
beloved,1
belt,0
benchmark,1
benefit,0
benign,1
benigno,0
benjamin,0
bereaved,1
bernard,0
bernhardt,0
bernie,0
bespoke,1
best,0
bet,0
bethany,1
beyond,1
bhakti,0
bianchi,0
bias,1
bible,0
biblical,1
bicycle,0
bid,1
bidder,1
biddle,0
biden,0
bidens,1
bids,1
bidston,0
big,0
bigger,0
biggest,0
bike,0
bilateral,1
bild,1
bill,0
billed,1
billions,0
billy,0
bin,0
binary,1
bind,1
biodiversity,1
biologist,1
biology,1
biophysicist,1
biopsy,1
birds,0
birkenhead,0
birth,0
birthday,0
birther,0
birtwistle,1
biscuits,1
bishkek,1
bishop,1
bit,0
bite,0
biting,0
black,0
blackpool,1
blame,1
blamed,1
blames,1
blast,1
blasts,1
bleeding,1
blek,0
blend,0
blessing,1
blew,1
blind,1
bloc,1
block,1
blocked,0
blocking,0
blocks,0
blog,1
blood,0
bloodied,1
bloodshed,1
bloody,1
bloomberg,0
blow,1
blue,0
bluechip,1
blueprint,1
blythburgh,1
bn,0
board,1
boarded,1
boarding,1
boards,0
boat,0
boats,0
bob,0
bobby,0
bodies,0
body,0
boeing,0
bog,0
bogs,1
boiled,1
boko,0
bold,1
bolden,0
boles,0
bomb,0
bombardment,1
bomber,0
bombers,0
bombing,0
bombings,0
bombs,1
bond,0
bondaroy,1
bonds,1
book,0
books,0
boom,1
booming,1
boost,1
boosts,1
border,0
bordering,0
borders,0
bore,1
boris,0
borislav,0
born,0
borno,0
boron,1
borrowing,1
borussia,0
bos,0
bosch,0
bosnia,0
bosnian,0
boston,0
bottle,0
bottom,0
boubacar,0
boudin,0
bought,1
boulevard,0
boulos,0
bounce,1
bound,1
bounded,1
boy,0
boyarintseva,0
boycott,1
boycotted,1
boyfriend,0
boys,0
bracing,1
bradamante,0
bradley,0
bradycardia,1
brahman,1
brahms,1
brain,0
brains,0
brake,1
branch,1
branched,0
branches,1
brand,1
branding,1
brandman,0
brands,0
brasil,0
braunau,1
brave,0
brazil,0
brazilian,0
breach,1
breakfast,0
breaking,0
breathe,1
breathing,0
breeches,1
brenda,0
brevard,0
brexit,1
breyer,0
brian,0
bribes,1
bridge,0
bridgeport,1
bridges,1
brief,1
briefly,1
brigade,1
bright,0
brightly,0
brighton,0
bring,0
bringing,0
brings,0
brink,1
bristol,0
britain,0
british,0
britten,0
broad,1
broadband,1
broadcast,1
broadcasting,0
broadcasts,1
broadened,1
broader,1
broke,1
broken,0
brokered,1
bromance,1
bronchitis,1
bronze,1
brood,1
broods,1
brooking,0
brookings,0
brother,0
brothers,0
brought,0
brown,0
brp,0
bruck,0
bruckner,0
bruins,0
brunei,0
bruno,0
brussels,0
brutal,1
brutally,1
bryce,0
bubble,0
buck,0
bucks,0
budget,1
budgets,0
buffer,1
buffy,1
buford,0
build,0
building,0
buildings,0
builds,0
built,0
bulgaria,0
bulgarian,0
bulging,1
bumble,1
bundesliga,1
bundesländer,1
buoys,1
burbank,0
bureau,1
bureaucrat,1
burlington,0
burmese,1
burn,0
burned,0
burning,0
burnt,0
burqas,1
burrows,0
burst,1
bursting,1
buses,0
bush,0
busiest,1
business,0
businesses,0
businesslike,1
businesspeople,0
bust,1
butcher,1
butterflies,1
buying,0
bye,0
bützow,0
cabinet,1
cacao,0
cairo,0
calder,0
caleb,0
calendar,0
california,0
call,0
called,0
calling,0
calls,0
calm,1
cameraman,0
cameras,0
cameron,0
camp,0
campaign,1
campaigning,1
campesino,1
campus,0
canada,0
canadian,1
canadiens,1
canary,1
canaveral,0
cancel,0
canceled,1
cancer,0
candidacy,1
candidate,1
candidates,1
cane,0
cannon,0
canopy,1
cantata,1
cantwell,1
caoimhe,0
capabilities,1
capable,1
capacity,1
cape,0
capital,1
caps,0
captain,0
caption,1
capture,1
captured,1
capturing,1
car,0
carbon,0
carcinoma,1
cardiovascular,1
care,0
career,0
caring,0
carl,0
carlos,0
carly,0
carnage,1
carolina,0
carondelet,0
carpets,0
carried,0
carriers,1
carrot,0
carry,0
carrying,0
cars,0
carsten,0
cartoon,0
cartwright,0
carve,1
carved,1
case,0
cases,0
casey,0
cash,0
casino,0
casinos,0
caspicara,1
cast,1
caste,1
castle,0
casts,1
casualties,1
catch,1
cathedral,1
catherine,0
catheter,1
cathode,1
catholic,1
caucus,1
caught,0
caused,0
causing,0
caution,1
cavalryman,1
cbs,0
cctv,1
cd,0
cdn,0
ce,1
cease,1
ceased,1
ceasefire,1
celebrate,0
celebrated,1
cementing,1
cemetery,1
censorship,1
census,1
cent,0
center,0
centers,0
centimeters,0
central,0
centre,0
century,0
ceo,1
ceramics,1
ceremonially,1
ceremony,1
cernan,0
chadi,0
chain,0
chains,0
chairman,0
challenge,1
challenged,1
challenges,1
challenging,1
chamber,1
champ,0
champion,0
champions,0
championships,1
chance,0
chancellor,1
change,0
changed,1
channel,0
channels,1
chanted,1
chaos,1
chapel,1
chapter,0
character,0
characteristic,1
characters,0
charade,1
charge,1
charged,1
charges,0
charity,1
charlemagne,0
charles,0
charon,0
chase,0
cheating,1
checked,1
checkerboard,1
checkuser,1
cheerfulness,1
chef,0
chelsea,0
chemical,0
chemicals,1
chemistry,1
chemotherapy,1
chernov,1
cherubino,1
chest,1
chicken,0
chief,0
chiefs,0
child,0
children,0
chilton,0
china,0
chinese,0
chloride,1
chlorin,1
chlorophyll,1
choe,1
choice,0
choose,0
chopped,1
chord,1
chose,0
christian,0
christine,0
christmas,0
chromatophores,1
chronic,1
chu,0
church,0
cia,0
cinco,0
cindy,0
circle,0
circuit,0
circumstances,1
circumvent,1
cirrhosis,1
citar,1
citars,1
cited,1
cites,1
cities,0
citing,1
citizens,0
citrus,0
city,0
civic,0
civil,0
civilian,0
civilians,1
civilization,1
claim,0
claimants,1
claimed,1
claiming,0
claims,0
clamoring,1
clams,1
clapped,1
clarinet,0
clarinets,1
clarity,1
clashed,1
clashes,1
clashing,1
class,0
classed,1
classes,0
classified,1
classmate,0
claws,1
clean,0
cleaning,0
cleansing,1
clear,0
clearance,1
cleared,1
clearing,0
clearly,0
clemency,1
cleric,1
cleveland,0
click,0
cliff,1
clifford,0
climate,1
climbing,0
clinics,0
clinton,0
clockwise,1
cloister,1
close,0
closed,0
closely,0
closer,0
closing,0
closure,1
cloth,0
cloud,0
clout,1
cloverhill,0
club,0
cluster,1
cm,0
cnn,0
co,0
coagulation,1
coast,0
coastal,1
coated,1
coating,1
cocaine,1
cockpit,1
cocoon,1
cocos,1
codd,0
code,0
codes,0
coding,0
coffee,0
cognitive,1
colarossi,1
cold,0
coldest,0
colin,0
colitis,1
collaborated,1
collaborating,1
collaborations,1
collapse,1
collapsed,1
collapsing,1
colleagues,1
collect,0
collected,0
collection,1
collects,0
college,0
colleges,0
collided,1
collins,0
collision,1
colonial,1
colonies,1
colonoscopy,1
color,0
coloring,0
colors,0
colossal,1
coma,1
comando,0
combat,1
combating,1
combine,0
comedian,1
comedies,1
comedy,1
comfortable,0
comic,1
comically,1
coming,0
command,0
commander,0
commanders,1
commemorating,1
commenced,1
comment,0
commentary,1
commented,1
commerce,1
commercial,1
commission,1
commissioned,1
commissioner,1
commit,1
commitment,1
commits,1
committed,1
committee,0
committees,0
common,0
commonly,0
commonwealth,1
communicate,1
communication,0
communications,1
community,1
commute,1
commuted,1
compact,1
companies,0
companion,1
company,0
compared,0
comparison,1
comparisons,1
compartments,1
compassionate,1
compatible,1
compel,1
compelling,1
compete,1
competing,1
competition,1
competitor,1
competitors,1
compiled,1
complained,1
complaining,1
complaint,1
complaints,1
complementary,1
complete,0
completed,0
completely,0
completing,0
complex,1
complicated,1
complications,1
comply,1
composed,0
composer,1
composing,1
compound,1
compounds,1
comprehend,1
comprehensive,1
compression,1
comprise,1
comprises,1
compromise,1
compulsory,1
computers,0
conceal,1
concentrate,1
concentration,1
concentrations,1
concept,1
concern,1
concerned,1
concerning,1
concerns,1
concert,1
concerted,1
concerto,1
concerts,1
concisely,1
concluded,1
concludes,1
conclusion,1
concrete,1
condemned,1
condition,0
conditions,1
condolences,1
conduct,1
conducted,1
conducting,1
cone,1
conference,1
conferred,1
confessing,1
confessions,1
confidence,1
confident,1
confidential,1
confined,1
confinement,1
confirmed,1
confirming,1
conflict,1
conflicting,1
conform,1
conformity,1
confrontation,1
confrontations,1
confronted,1
confusingly,1
congress,1
congressional,1
conjure,1
conley,0
connected,0
connection,0
connects,1
conquer,1
conscription,1
conscripts,1
conservative,1
conservatives,1
considerable,1
considerations,1
considered,1
considering,1
considers,0
consistently,1
consists,0
consolidation,1
consort,1
conspiracy,1
conspiring,1
constitution,1
constitutional,1
constraints,1
constructing,1
construction,1
consultant,1
consultation,1
consulting,1
consumer,1
consumers,1
contact,0
contacted,0
containing,1
containins,1
contains,0
contempt,1
content,1
contents,1
contest,1
contested,1
contexts,1
continental,1
continents,1
contingent,1
continue,1
continued,0
continuing,0
continuous,1
contract,1
contraindication,1
contrast,0
contributed,1
contribution,1
contributions,0
control,0
controlled,1
controllers,0
controversial,1
contusion,1
convert,1
converted,1
convertible,1
convertibles,1
converting,1
convicted,1
convictions,1
convicts,1
convince,1
convinced,1
convincing,1
convoy,1
cooked,0
cool,0
cooler,0
coolest,0
cooperate,1
cooperation,0
coordinated,1
coordination,1
copal,0
copenhagen,1
coppa,1
copper,1
copy,0
coral,1
corals,1
cordon,0
core,1
corporate,0
corporation,1
corpse,1
corpses,1
correa,0
correct,0
correctness,1
correspondent,1
corridor,1
corrosive,1
corrupt,1
corruption,1
corruptly,1
coskun,0
cosmetics,1
cosmic,1
cosmodrome,1
cost,0
costly,0
costs,0
couched,1
council,0
councillor,1
councilman,1
councils,1
counsel,1
count,0
counted,0
counter,1
counteractions,1
counterterrorism,1
countervailing,1
counties,0
countries,0
country,0
counts,0
county,0
couple,1
couples,0
course,0
court,0
courtroom,0
courts,0
cousin,0
cousins,0
covalent,1
covent,0
cover,0
covered,0
covering,0
covers,1
crabbe,0
crackdown,1
cracked,1
craft,1
crafts,0
crane,1
cranes,1
crash,0
crashed,1
crashes,1
craters,1
craven,1
create,0
created,0
creatine,1
creation,0
credence,1
credentials,1
credibility,1
credit,0
credited,1
cremated,1
crew,1
cries,0
crime,0
crimea,1
crimes,0
criminal,1
criminalize,1
crippling,1
crisis,1
criteria,1
critical,1
criticism,1
criticized,1
criticizes,1
crm,0
crocker,0
cropper,0
cross,0
crossed,0
crossroads,1
crowds,1
crown,0
crowned,1
crozier,0
crucial,1
crushed,1
crushing,1
cuba,0
cuban,0
cuisines,1
culkin,0
cultural,1
cultures,1
cup,0
cups,0
curfew,1
curling,0
current,1
currently,1
curtis,0
curved,1
curzon,1
cushion,1
custody,1
customer,0
customs,1
cut,0
cuts,0
cuttlefish,1
cuvier,0
cyst,1
czech,1
césar,0
da,0
daily,0
dalial,0
dallas,0
damage,1
damaged,1
damascus,1
dammar,0
danby,0
dance,0
dancer,0
danger,0
dangerous,0
dangerously,1
daniel,0
daniels,0
danish,0
daohugou,1
daoud,0
daraa,0
dark,0
darkens,0
darkness,0
data,1
database,0
date,0
dates,0
datum,1
daughter,0
daughters,0
david,0
davies,0
davis,0
dawn,1
day,0
daylight,0
days,0
dbms,0
de,0
dead,0
deadliest,1
deadly,0
deal,0
dealing,1
deals,1
death,0
deaths,0
debate,1
debated,1
debates,1
debris,1
debt,0
debut,1
decade,1
decades,1
decay,1
decayed,1
deceased,1
december,0
decide,0
decided,1
deciding,1
decision,0
decisions,1
deck,0
declarations,1
declare,1
declared,1
declares,1
decline,1
declined,1
decomposing,1
decorated,0
decorating,0
decoration,1
decorative,1
decreases,1
decree,1
deemed,1
deep,0
deepen,1
deeper,0
deeply,0
defaults,1
defeat,0
defeated,1
defected,1
defecting,1
defectors,1
defence,0
defences,1
defend,0
defendants,1
defending,1
defense,0
defer,1
defiance,1
deficit,1
define,1
definitely,1
definitive,1
degenerate,1
degrade,1
degrading,1
dehydration,1
deir,0
del,0
delay,1
delayed,1
deliberate,1
deliver,1
delivered,1
delivering,1
deloraine,0
demand,1
demanded,1
demanding,1
demands,1
dementia,1
democracy,1
democratic,1
demonstrations,1
demonstrators,1
denied,1
denies,1
denmark,0
denotes,1
denounced,1
dense,1
denunciations,1
deny,1
denying,1
departed,1
department,0
departure,1
depending,1
depicted,1
deploy,1
deployed,1
deployment,1
deployments,1
deposit,1
deposits,0
depots,1
deputies,1
deputy,0
der,0
derided,1
derived,1
dermatitis,1
derry,0
descent,1
describe,1
described,1
describing,1
description,1
desert,1
deserters,1
deserve,1
design,1
designate,1
designed,1
designer,1
designs,1
desire,1
desired,1
desperate,1
despite,1
destabilises,1
destabilising,1
destabilize,1
destabilizes,1
destination,1
destroy,1
destroyed,1
destroying,1
details,0
detain,1
detained,1
detainees,1
detection,1
detectives,1
detectors,1
detention,1
deter,1
deteriorated,1
deterioration,1
determination,1
determine,1
determined,1
deterred,1
detonated,1
detonating,1
detrimental,1
deupities,1
devastated,1
devastating,1
develop,0
developed,0
developers,1
development,1
developments,1
develops,0
devices,0
devious,1
devonport,0
devotion,1
dfa,1
dhabi,0
dharma,0
diabetes,1
diagnosed,1
diagnosis,1
diagonally,1
dialogue,1
dialysis,1
dias,0
dibenzenechromium,1
dicaprio,0
dictation,1
did,0
die,0
died,0
diego,0
dies,0
diet,1
difference,0
different,0
difficult,0
difficulties,1
diffraction,1
diffuse,1
digger,1
digging,1
digital,0
dignitaries,1
dilokrit,0
dinosaur,1
dinosaurs,1
dionysus,0
diplomat,1
diplomatic,1
diplomatically,1
diplomats,1
dipped,1
dire,1
direct,0
directed,1
direction,1
directly,0
director,0
directors,0
disabled,1
disagreed,1
disappoint,1
disappointed,1
disassociate,1
disaster,1
discharged,1
disciplinary,1
disclose,1
discontent,1
discounted,1
discovered,1
discovering,0
discovers,1
discovery,1
discredit,1
discredited,1
discredits,1
discrimination,1
discuss,0
discusses,1
discussion,1
discussions,1
disease,1
diseases,1
disembowelled,1
disgraceful,1
disguised,1
dismembered,1
dismiss,1
dismissed,1
disparate,1
dispatch,1
dispatched,1
dispelling,1
display,0
displays,0
disposed,1
dispute,1
disputed,1
disputes,1
disputing,1
disrespect,1
disrespected,1
disrespectful,1
disruption,1
disruptive,1
dissent,1
dissenting,1
dissidents,1
dissolution,1
dissolved,1
distance,1
distinct,1
distinction,1
distinctive,1
distinguish,1
distraught,1
distressing,1
distribute,1
district,0
districts,1
disturbance,1
dived,1
diverse,1
divert,1
divide,1
divided,0
divides,1
division,0
divisions,1
dmitry,0
dna,0
do,0
doctorate,1
doctors,0
document,0
documentary,1
documented,1
documents,1
dolan,0
dollars,0
dollhouse,0
dome,1
domestic,1
dominance,1
dominant,1
dominated,1
dominic,0
domino,1
donald,0
doncaster,0
donnelly,0
door,0
doors,0
doorstep,1
dortmund,0
dosage,1
dose,0
doskozil,0
dotted,1
dotting,1
double,0
doubt,0
doubtfire,0
doubts,0
doug,0
douma,0
dover,0
downgraded,1
downplayed,1
downtown,1
downturn,1
dozen,1
dozens,0
draft,1
drafts,1
dragged,1
drama,0
dramatic,1
drastic,1
draw,0
drawing,1
drawn,0
dream,0
dress,0
dressed,0
dried,1
drill,1
drilled,1
drink,0
dripping,1
drive,1
driven,1
driver,0
drivers,0
driving,0
drop,0
dropped,0
drops,1
drove,0
drug,0
dry,0
dubai,0
dubbed,1
dublin,0
duchy,1
duck,0
ducked,1
due,0
duly,0
dumping,1
dushku,1
dust,1
dustin,0
dutch,0
duty,1
dvd,1
dwarf,0
dwarfs,0
dwayne,0
dyes,1
dyspnea,1
ear,0
earlier,0
early,0
earmarked,1
earned,0
earnest,1
earnings,1
earth,0
ease,1
easier,0
easily,0
east,0
easter,1
eastern,0
easy,0
eats,0
eccles,0
echl,0
echoed,1
economic,1
economics,0
economist,1
economy,0
ecuador,0
ecuadoran,1
ecuadorian,0
eczema,1
ed,0
edema,1
edgar,1
edge,0
edging,1
edirne,1
edit,0
edited,1
editing,0
edition,1
editor,1
edits,0
eduardo,0
education,1
edward,0
effect,0
effective,0
effectively,1
effects,0
efficient,1
effort,1
efforts,0
eggs,0
egotistic,1
egypt,0
egyptian,0
egyptians,0
eighteenth,1
eighth,0
eihl,1
eilenberg,0
el,0
elderly,1
eldest,0
elected,1
election,0
elections,0
electoral,1
electromagnetic,1
electronic,0
electronics,0
element,1
elements,1
elephant,0
elephants,1
elevation,1
eligibility,1
eligible,1
elite,1
elliott,0
ellison,0
elsewhere,0
emanating,1
embassy,0
embolism,1
emerge,1
emerged,1
emergency,1
emirate,1
emirates,0
emirati,1
emission,1
emissions,1
emit,1
emotion,0
emotional,1
emperor,1
emphasise,1
emphasizing,1
emphatically,1
emphysema,1
empire,0
employees,1
employment,0
empress,1
emts,1
en,1
enable,1
enabling,1
enacted,1
enactment,1
encephalitis,1
enclave,1
enclosure,1
encodes,1
encoding,1
encounter,1
encourage,1
encouraged,1
encouraging,1
end,0
endangered,1
ended,0
ending,0
endocrine,1
endoscopy,1
ends,0
enduring,1
enemies,1
enemy,0
enforcement,1
engaged,1
engine,0
engineer,1
engineered,1
engineering,0
england,0
english,0
enigmatic,1
enjoyed,1
enlargement,1
enormous,1
enquiries,1
ensued,1
ensuing,1
ensure,0
ensured,1
ensures,1
entailing,1
enter,0
entered,1
entering,1
enterprise,1
enterprises,1
entire,0
entirety,1
entrance,0
envenomation,1
envoy,1
epic,1
epics,1
epidexipteryx,1
epigrams,1
epilepsy,1
episodes,1
eppan,1
equal,0
equipment,1
equity,1
era,0
erawan,0
eric,0
ernest,0
eroding,1
erp,0
erring,1
error,1
erupted,1
es,0
escalates,1
escape,1
escaping,1
escorted,1
especially,1
espionage,1
essential,1
est,0
establish,1
established,1
establishment,1
estate,0
estimate,1
estimated,1
estimates,1
estonia,1
estonian,1
ethical,1
ethnic,1
etiology,1
eu,0
eugene,0
eugène,0
eulogies,1
eurasia,0
euro,0
europe,0
european,0
euros,0
eurozone,1
evacuated,1
evacuation,1
evade,1
evaded,1
evaluated,1
evaporation,1
even,0
evening,0
evenings,0
event,0
events,0
eventually,1
everson,0
everybody,0
everything,0
evidence,1
evolution,1
evolve,1
evolved,1
examination,1
examined,1
examples,0
exasperated,1
except,1
exception,1
excessive,1
exchange,1
exchanged,1
exchanges,1
excited,1
exciting,1
excluded,1
exclusion,1
exclusive,1
excused,1
executed,1
executions,1
executive,1
exercises,1
exhausted,1
exhibited,1
exhibition,1
exhibitions,1
exist,1
existed,0
existence,1
exists,1
exit,0
exiting,1
expand,0
expands,1
expatriates,1
expect,0
expectations,1
expected,0
expects,0
expedited,1
expelled,1
expenses,1
experience,1
experienced,0
experiences,0
experiment,1
experimental,1
experimenter,1
experiments,1
expert,0
experts,0
explain,0
explained,0
explanation,0
explicitly,1
exploded,1
exploit,1
exploiting,1
exploration,1
explore,1
explosion,1
explosions,1
explosives,1
exported,1
exports,0
expose,1
exposed,1
exposing,1
exposition,1
exposure,1
express,1
expressed,1
expresses,1
expression,1
expressly,1
extend,1
extended,1
extending,1
extends,1
extension,1
extensive,1
extent,0
external,1
extra,0
extracted,1
extracts,1
extradition,1
extrapolate,1
extreme,1
extremely,1
extremist,1
extremists,1
eyes,0
eyewitnesses,1
ezzor,0
face,0
facebook,0
faced,0
faces,0
facilities,1
